NCgl_ID,Cgl_ID,ID,Name,Synonyms,Protein,Strains,Function,Length
NCgl1364,Cgl1419,cg1608,xerD,,Tyrosine recombinase XerD,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,304
,Cgl1424,cg1613,sseA2,,Sulfurtransferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,289
NCgl1372,Cgl1427,cg1616,cmk,,Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,230
NCgl1373,Cgl1428,cg1617,der,engA,GTPase Der (GTP-binding protein EngA),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,519
NCgl1379,Cgl1434,cg1623,zupT,,Zinc transporter ZupT,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,263
NCgl1382,Cgl1438,cg1626,,,UPF0225 protein Cgl1438/cg1626,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,125
NCgl1384,Cgl1440,cg1629,secA2,div/azi,Protein translocase subunit SecA 2,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,763
NCgl1385,Cgl1441,cg1630,odhI,,Oxoglutarate dehydrogenase inhibitor,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,143
,Cgl1452,cg1643,gnd,,6-phosphogluconate dehydrogenase,,,
NCgl1402,Cgl1458,cg1649,pctD,,ABC-type transporter,,,
NCgl1403,Cgl1459,cg1650,pctC,,ABC-type transporter,,,
NCgl1404,Cgl1460,cg1651,pctB,phnC,Phosphonates import ATP-binding protein PhnC (EC 7.3.2.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,268
NCgl1406,Cgl1462,cg1653,pgp1,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,234
NCgl1407,Cgl1463,cg1654,thiD1,theD,Thiamine biosynthesis multifunctional protein ThiED [Includes: Thiamine-phosphate synthase (TMP-PPase) (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase); Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)],Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,763
NCgl1408,Cgl1464,cg1655,thiM,,Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,268
NCgl1409,Cgl1465,cg1656,ndh,,NADH dehydrogenase,,,
NCgl1412,Cgl1468,cg1659,gpt,,Predicted phosphoribosyltransferases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,158
NCgl1413,Cgl1469,cg1660,mntP,,Putative manganese efflux pump MntP,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,190
,Cgl1477,cg1671,rbpA,,RNA polymerase-binding protein RbpA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,132
,Cgl1479,cg1673,ppmN,lnt,Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,545
,Cgl1480,cg1675,fxsA,,Hypothetical membrane protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,247
NCgl1433,Cgl1490,cg1684,tatC,,Sec-independent protein translocase protein TatC,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,334
NCgl1434,Cgl1491,cg1685,tatX,tatA,Sec-independent protein translocase protein TatA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,105
NCgl1437,Cgl1494,cg1688,pafA,,Pup--protein ligase (EC 6.3.1.19) (Proteasome accessory factor A) (Pup-conjugating enzyme),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,482
NCgl1438,Cgl1495,cg1689,pup,,Prokaryotic ubiquitin-like protein Pup (Bacterial ubiquitin-like modifier),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,64
NCgl1440,Cgl1497,cg1691,arc,,AAA ATPase forming ring-shaped complexes (ARC),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,527
NCgl1446,Cgl1503,cg1697,aspA,,Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,526
NCgl1447,Cgl1504,cg1698,hisG,,ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,281
NCgl1448,Cgl1505,cg1699,hisE,,Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,87
NCgl1449,Cgl1506,cg1700,gpp,,Predicted phosphatase/phosphohexomutase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,231
NCgl1450,Cgl1507,cg1701,metH,,Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,1221
NCgl1453,Cgl1510,cg1705,arsC2,acr3,Arsenical-resistance protein Acr3,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,370
NCgl1454,Cgl1511,cg1706,arsC1,,Arsenate-mycothiol transferase ArsC1 (EC 2.8.4.2) (Mycothiol-dependent arsenate reductase ArsC1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,140
NCgl1455,Cgl1512,cg1707,,,Protein-tyrosine-phosphatase (EC 1.-.-.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,213
NCgl1457,Cgl1514,cg1709,cysS2,mshC,L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase (L-Cys:GlcN-Ins ligase) (EC 6.3.1.13) (Mycothiol ligase) (MSH ligase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,404
NCgl1458,Cgl1515,cg1710,bacA,uppP,,,,
NCgl1461,Cgl1518,cg1713,pyrD,,Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,371
,Cgl1528,cg1724,,,Putative periplasmic protein kinase ArgK and related GTPases of G3E family (EC 2.7.-.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,363
,Cgl1529,cg1725,mcmB,,Methylmalonyl-CoA mutase,,,
,Cgl1530,cg1726,mcmA,,Methylmalonyl-CoA mutase,,,
NCgl1479,Cgl1537,cg1734,hemH,,Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,370
,Cgl1540,cg1737,acn,,Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) ((2R,,,
,Cgl1541,cg1738,acnR,,HTH-type transcriptional repressor AcnR (TetR-type regulator AcnR),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,188
NCgl1486,Cgl1544,cg1742,,,UPF0237 protein Cgl1544/cg1742,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,89
NCgl1487,Cgl1545,cg1743,,,UPF0210 protein Cgl1545/cg1743,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,464
,Cgl1557,cg1757,tnp3b,,Transposase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,236
NCgl1505,Cgl1566,cg1766,mptB,,Alpha-(1->6)-mannopyranosyltransferase B (MptB) (EC 2.4.1.-) (Polyprenyl-1-monophosphorylmannose dependent alpha-(1->6)mannopyranosyltransferase) (PPM-dependent alpha-(1->6)mannopyranosyltransferase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,602
,Cgl1572,cg1771,qor,,NADPH:quinone reductase and related Zn-dependent oxidoreductases (EC 1.6.5.5),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,325
NCgl1511,Cgl1573,cg1773,ctaB,,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,323
NCgl1512,Cgl1574,cg1774,tkt,,Transketolase (EC 2.2.1.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,676
,Cgl1575,cg1776,tal,,Transaldolase (EC 2.2.1.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,360
,Cgl1576,cg1778,zwf,,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,484
,Cgl1578,cg1780,devB,pgl,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,235
NCgl1519,Cgl1581,cg1783,soxA,,Glycine/D-amino acid oxidases (Deaminating) or sarcosine oxidase (EC 1.5.3.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,280
NCgl1520,Cgl1582,cg1784,ocd,,Predicted ornithine cyclodeaminase,,,
NCgl1521,Cgl1583,cg1785,amt,,Ammonia channel (Ammonia transporter),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,452
NCgl1522,Cgl1584,cg1786,secG,,Protein-export membrane protein SecG,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,77
NCgl1523,Cgl1585,cg1787,ppc,,Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,919
NCgl1524,Cgl1586,cg1789,tpi,tpiA,Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,259
NCgl1525,Cgl1587,cg1790,pgk,,Phosphoglycerate kinase (EC 2.7.2.3),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,405
NCgl1526,Cgl1588,cg1791,gap,,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,334
NCgl1527,Cgl1589,cg1792,whiA,,Probable cell division protein WhiA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,327
NCgl1529,Cgl1591,cg1794,,,Nucleotide-binding protein Cgl1591/cg1794,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,309
NCgl1530,Cgl1592,cg1795,uvrC,,UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,696
NCgl1532,Cgl1594,cg1797,ribH,,6,,,
NCgl1533,Cgl1595,cg1798,ribA,ribBA,Riboflavin biosynthesis protein RibBA [Includes: 3,,,
NCgl1534,Cgl1596,cg1799,ribC,,Riboflavin synthase alpha chain (EC 2.5.1.9),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,211
NCgl1535,Cgl1597,cg1800,ribG,,Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)],Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,328
NCgl1536,Cgl1598,cg1801,rpe,,Ribulose-phosphate 3-epimerase (EC 5.1.3.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,219
NCgl1538,Cgl1600,cg1803,fmt,,Methionyl-tRNA formyltransferase (EC 2.1.2.9),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,315
NCgl1539,Cgl1601,cg1804,def2,def1,Peptide deformylase 1 (PDF 1) (EC 3.5.1.88) (Polypeptide deformylase 1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,169
NCgl1540,Cgl1602,cg1805,priA,,Probable primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,688
NCgl1541,Cgl1603,cg1806,metK,,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,407
NCgl1542,Cgl1604,cg1807,dfp,,Coenzyme A biosynthesis bifunctional protein CoaBC (EC 4.1.1.36) (EC 6.3.2.5) (DNA/pantothenate metabolism flavoprotein),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,420
NCgl1543,Cgl1605,cg1809,rpoZ,,DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,97
NCgl1544,Cgl1606,cg1810,gmk,drp113,Guanylate kinase (EC 2.7.4.8) (GMP kinase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,190
NCgl1546,Cgl1608,cg1812,pyrF,,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,278
NCgl1547,Cgl1609,cg1813,carB,,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,1113
NCgl1548,Cgl1610,cg1814,carA,,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,393
NCgl1549,Cgl1611,cg1815,pyrC,,Dihydroorotase (DHOase) (EC 3.5.2.3),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,447
NCgl1550,Cgl1612,cg1816,pyrB,,Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,312
NCgl1551,Cgl1613,cg1817,pyrR,,Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)],Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,192
NCgl1556,Cgl1618,cg1824,nusB,,Transcription antitermination protein NusB (Antitermination factor NusB),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,227
NCgl1557,Cgl1619,cg1825,efp,,Elongation factor P (EF-P),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,187
NCgl1559,Cgl1621,cg1827,aroB,,3-dehydroquinate synthase (DHQS) (EC 4.2.3.4),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,365
NCgl1560,Cgl1622,cg1828,aroK,,Shikimate kinase (SK) (EC 2.7.1.71),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,169
NCgl1561,Cgl1623,cg1829,aroC,,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,410
NCgl1567,Cgl1629,cg1835,aroE3,aroE,Quinate/shikimate dehydrogenase (NAD(+)) (QSDH) (EC 1.1.1.-) (EC 1.1.1.24),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,276
NCgl1568,Cgl1630,cg1836,mltG,,Endolytic murein transglycosylase (EC 4.2.2.-) (Peptidoglycan polymerization terminase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,389
NCgl1569,Cgl1631,cg1837,,,Putative pre-16S rRNA nuclease (EC 3.1.-.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,182
NCgl1570,Cgl1632,cg1838,alaS,,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,888
NCgl1573,Cgl1635,cg1841,aspS,,Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,608
,Cgl1645,cg1852,sdaA,,L-serine deaminase (EC 4.3.1.17),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,449
,Cgl1646,cg1853,glpD,,Glycerol-3-phosphate dehydrogenase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,562
NCgl1585,Cgl1647,cg1855,hisS,,Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,429
NCgl1588,Cgl1651,cg1859,,,Uncharacterized protein Cgl1651/cg1859,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,185
NCgl1590,Cgl1653,cg1861,relA,rel,GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,760
NCgl1591,Cgl1654,cg1862,apt,,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,185
,Cgl1657,cg1865,secF,,Protein-export membrane protein SecF,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,403
,Cgl1658,cg1867,secD,,Protein translocase subunit SecD,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,644
NCgl1596,Cgl1660,cg1869,ruvB,,Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,360
NCgl1597,Cgl1661,cg1870,ruvA,,Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,206
NCgl1598,Cgl1662,cg1871,ruvC,,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,221
NCgl1599,Cgl1663,cg1872,,,Probable transcriptional regulatory protein Cgl1663/cg1872,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,251
NCgl1600,Cgl1664,cg1873,tesB2,,Acyl-CoA thioesterase (EC 3.1.2.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,282
,Cgl1669,cg1878,pgsA1,,Phosphatidylinositol phosphate synthase (PIP synthase) (EC 2.7.8.-) (CDP-diacylglycerol--D-myo-inositol-3-phosphate 3-phosphatidyltransferase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,219
NCgl1607,Cgl1671,cg1880,thrS,,Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,695
,Cgl1714,cg1930,,,Peptidase S1 domain-containing protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,335
,Cgl1776,cg1996,cglIM,,Cytosine-specific methyltransferase (EC 2.1.1.37),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,363
,Cgl1777,cg1997,cglIR,,Stress-sensitive restriction system protein 1 or type II resctriction endonuclease,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,358
,Cgl1778,cg1998,cglIIR,,Stress-sensitive restriction system protein 2,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,632
NCgl1747,Cgl1822,cg2042,aftC,,Alpha-(1->3)-arabinofuranosyltransferase (EC 2.4.2.47) (Arabinofuranan 3-O-arabinosyltransferase) (Arabinofuranosyltransferase C),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,279
,Cgl1847/Cgl1889,cg2068,,,Hypothetical protein predicted by Glimmer,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,248
,Cgl1896,cg2076,ribD,,Pyrimidine reductase,,,
NCgl1827,Cgl1902,cg2083,dxs,,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,636
NCgl1828,Cgl1903,cg2084,,,Uncharacterized RNA methyltransferase Cgl1903/cg2084 (EC 2.1.1.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,412
NCgl1830,Cgl1905,cg2086,dut,,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,149
,Cgl1909,cg2090,suhB,,Inositol-1-monophosphatase (EC 3.1.3.25),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,272
,Cgl1911,cg2092,sigA,,RNA polymerase sigma factor SigA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,498
NCgl1843,Cgl1918,cg2101,dtd,,D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase) (EC 3.1.1.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,144
NCgl1845,Cgl1920,cg2103,dtxR,,Diphtheria toxin repressor (Iron-dependent diphtheria tox regulatory element) (Tox regulatory factor),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,228
NCgl1846,Cgl1921,cg2104,galE,,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,329
